disease,category,advice
Bacterial leaf blight,Cause,สาเหตุหลักเกิดจากเชื้อแบคทีเรีย Xanthomonas oryzae ครับ
Bacterial leaf blight,Symptom,ใบของข้าวจะมีสีเหลืองซีด และอาจมีแผลขอบน้ำตาลครับ
Bacterial leaf blight,Prevention,แนะนำให้ใช้พันธุ์ต้านทานโรค และลดการใช้ปุ๋ยไนโตรเจนเยอะเกินไปนะครับ
Bacterial leaf blight,Control,หากพบโรคแล้ว ควรตัดต้นที่ติดโรคทิ้งและใช้สารชีวภัณฑ์ในการควบคุมครับ
Bacterial leaf blight,Recovery,หลังจากจัดการโรคแล้ว ควรปรับปรุงดินและลดปริมาณไนโตรเจนในการปลูกครั้งต่อไปครับ
Bacterial leaf blight,Solution,เฝ้าระวังช่วงข้าวออกรวง-เก็บเกี่ยว เพื่อป้องกันการระบาดซ้ำครับ
Blast,Cause,โรคนี้เกิดจากเชื้อรา Pyricularia oryzae ค่ะ ซึ่งแพร่กระจายได้ดีในสภาพอากาศชื้น
Blast,Symptom,อาการคือมีจุดกลมสีน้ำตาลขอบเข้มบนใบข้าวค่ะ
Blast,Prevention,ควรใช้พันธุ์ต้านทานและลดความชื้นบริเวณแปลงนาเพื่อลดการระบาดค่ะ
Blast,Control,เมื่อพบโรค ควรใช้สารป้องกันเชื้อรา เช่น Tricyclazole ในการควบคุมค่ะ
Blast,Recovery,หลังจากกำจัดโรค ควรเพิ่มธาตุอาหารให้พืชแข็งแรงและลดความชื้นในแปลงค่ะ
Blast,Solution,หมั่นสำรวจแปลงนาและพ่นสารป้องกันเชื้อราทุก 7-10 วันหากมีการระบาดค่ะ
Brown spot,Cause,เกิดจากเชื้อรา Cochliobolus miyabeanus และอาจเกิดจากการขาดโพแทสเซียมค่ะ
Brown spot,Symptom,ใบข้าวจะมีจุดกลมสีน้ำตาลกระจายทั่วใบค่ะ
Brown spot,Prevention,แนะนำให้ปรับปรุงดินและเพิ่มธาตุโพแทสเซียมเพื่อป้องกันค่ะ
Brown spot,Control,เมื่อพบโรค ควรใช้สารชีวภัณฑ์ เช่น Bacillus ในการควบคุมค่ะ
Brown spot,Recovery,หลังจากจัดการโรคแล้ว ควรปรับสมดุลน้ำในแปลงนาเพื่อลดความเสี่ยงค่ะ
Brown spot,Solution,เฝ้าระวังช่วงต้นกล้า-ออกรวงและดูแลธาตุอาหารให้เหมาะสมค่ะ
Sheath blight,Cause,สาเหตุเกิดจากเชื้อรา Rhizoctonia solani ครับ
Sheath blight,Symptom,อาการคือมีแผลสีน้ำตาลที่โคนต้นและแพร่กระจายเร็วครับ
Sheath blight,Prevention,ควรลดความหนาแน่นของต้นข้าวและเพิ่มการระบายอากาศในแปลงครับ
Sheath blight,Control,แนะนำให้ใช้สารป้องกันเชื้อราและตัดส่วนที่ติดเชื้อออกครับ
Sheath blight,Recovery,หลังการจัดการโรค ควรรักษาความชื้นในระดับที่เหมาะสมครับ
Sheath blight,Solution,ควบคุมความชื้นในดินและเฝ้าระวังช่วงฤดูฝนเป็นพิเศษครับ
